Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Through vision
720920,1.32000000,6.24000000,96.00000000,41.45770645,24.49440002,202.00000000
720921,1.32000000,6.30000000,95.00000000,44.93205643,28.67040062,128.00000000
720922,1.32000000,6.36000000,95.00000000,49.32838058,33.65999985,0.00000000
720926,1.32000000,6.60000000,56.00000000,29.65250969,22.54680061,90.00000000
720927,1.32000000,6.66000000,181.00000000,249.15399170,533.29321289,634.00000000
720928,1.32000000,6.72000000,97.00000000,64.43084717,59.60879898,534.00000000
720929,1.32000000,6.78000000,54.00000000,24.48484421,15.84360027,255.00000000
720930,1.32000000,6.84000000,55.00000000,25.75293541,16.15320015,334.00000000
720931,1.32000000,6.90000000,61.00000000,28.50553131,17.24760056,438.00000000
720932,1.32000000,6.96000000,82.00000000,37.34403610,22.05719948,516.00000000
720933,1.32000000,7.02000000,68.00000000,28.31690598,16.26840019,510.00000000
720934,1.32000000,7.08000000,69.00000000,23.12670517,9.91079998,599.00000000
720935,1.32000000,7.14000000,101.00000000,38.47336578,18.21599960,1016.00000000
720936,1.32000000,7.20000000,72.00000000,21.61715698,8.31239986,664.00000000
720937,1.32000000,7.26000000,64.00000000,18.01103783,6.72480011,610.00000000
720938,1.32000000,7.32000000,60.00000000,16.90879250,6.57719994,586.00000000
720939,1.32000000,7.38000000,59.00000000,16.79226875,6.91919994,559.00000000
720940,1.32000000,7.44000000,59.00000000,17.51127434,7.82639980,520.00000000
720941,1.32000000,7.50000000,62.00000000,19.51109123,9.39239979,458.00000000
720942,1.32000000,7.56000000,64.00000000,21.64968300,11.28960037,386.00000000
720943,1.32000000,7.62000000,78.00000000,29.53448296,16.14959908,362.00000000
720944,1.32000000,7.68000000,100.00000000,42.61694336,23.85359955,652.00000000
720945,1.32000000,7.74000000,69.00000000,30.33366776,18.89279938,60.00000000
786437,1.38000000,5.10000000,78.00000000,28.49845886,13.05000019,212.00000000
786438,1.38000000,5.16000000,90.00000000,28.90507317,11.73960018,610.00000000
786439,1.38000000,5.22000000,104.00000000,37.12213135,18.52560043,888.00000000
786440,1.38000000,5.28000000,79.00000000,21.78245354,7.41960001,376.00000000
786441,1.38000000,5.34000000,75.00000000,21.02987862,7.24679995,256.00000000
786442,1.38000000,5.40000000,72.00000000,21.40577316,7.72919989,184.00000000
786443,1.38000000,5.46000000,72.00000000,23.63969994,9.15120029,58.00000000
786451,1.38000000,5.94000000,168.00000000,235.01159668,537.26037598,1588.00000000
786452,1.38000000,6.00000000,174.00000000,240.27967834,541.62719727,1576.00000000
786462,1.38000000,6.60000000,25.00000000,6.96301079,2.93400002,12.00000000
786463,1.38000000,6.66000000,156.00000000,222.49253845,490.71960449,896.00000000
786464,1.38000000,6.72000000,52.00000000,23.00131416,15.71399975,458.00000000
786468,1.38000000,6.96000000,25.00000000,8.14575863,3.75480008,68.00000000
786470,1.38000000,7.08000000,57.00000000,21.09536171,9.73439980,12.00000000
786471,1.38000000,7.14000000,90.00000000,33.55788040,15.71039963,620.00000000
786472,1.38000000,7.20000000,69.00000000,25.86310196,14.95800018,191.00000000
786473,1.38000000,7.26000000,60.00000000,19.84940147,10.56960011,182.00000000
786474,1.38000000,7.32000000,57.00000000,15.63163567,5.51520014,212.00000000
786475,1.38000000,7.38000000,55.00000000,14.95796585,5.43599987,223.00000000
786476,1.38000000,7.44000000,58.00000000,16.73674583,6.58799982,219.00000000
