Ref,x1,y1,x2,y2,Angular Connectivity,Angular Shortest Path Angle,Angular Shortest Path Order,Axial Line Ref,Connectivity,Segment Length
1039,534161.146309,183595.8756,534161.842803,183591.821023,2.6622484,-1,-1,327,4,4.1139636
1040,534161.146309,183595.8756,534165.093239,183599.204499,3.7100599,-1,-1,328,4,5.1633153
1041,534165.093239,183599.204499,534202.392555,183630.663291,0.85895824,-1,-1,328,4,48.794411
1042,534202.392555,183630.663291,534206.844663,183634.418264,3.4309821,-1,-1,328,4,5.8241816
1043,534202.25682,183636.395884,534206.844663,183634.418264,3.2948494,-1,-1,329,4,4.9959264
1044,534206.844663,183634.418264,534360.099101,183568.356958,2.7051506,-1,-1,329,4,166.88625
1045,533983.161586,183107.230181,534032.416361,183080.772798,1.182127,-1,-1,330,3,55.910877
1046,534032.416361,183080.772798,534133.053441,183026.715223,0.98894149,-1,-1,330,2,114.23679
1047,534032.416361,183080.772798,534069.791631,183153.349561,3.0480838,-1,-1,331,4,81.635147
1048,534069.791631,183153.349561,534119.664561,183250.194772,2.0126326,-1,-1,331,4,108.93256
1049,534119.664561,183250.194772,534133.537355,183277.133508,2.9392834,-1,-1,331,4,30.300989
1050,533756.122341,183628.554248,533796.831086,183627.703067,3.1072955,-1,-1,332,3,40.717644
1051,533784.854581,183565.242321,533796.831086,183627.703067,1.1072954,-1,-1,333,1,63.598595
1052,533743.917362,183547.508681,533748.123444,183546.195339,3.0436037,-1,-1,334,4,4.4063578
1053,533748.123444,183546.195339,533834.657138,183519.175341,2.9563963,-1,-1,334,4,90.654068
1054,533776.429803,183387.359932,533834.657138,183519.175341,3.0721312,-1,-1,335,4,144.10318
1055,533834.657138,183519.175341,533891.749814,183648.4221,2.9278691,-1,-1,335,4,141.29507
1056,533854.709002,183742.73046,533918.695569,183732.321614,4,-1,-1,336,4,64.827652
1057,533914.352125,183706.116248,533918.695569,183732.321614,1.9948233,-1,-1,337,3,26.562881
1058,533918.695569,183732.321614,533922.491033,183755.220835,1.9981046,-1,-1,337,3,23.211634
1059,533914.352125,183706.116248,533975.600221,183695.263189,1.9839985,-1,-1,338,2,62.202236
1060,533975.600221,183695.263189,533980.321925,183719.895751,2.0713086,-1,-1,339,3,25.08102
1061,533980.321925,183719.895751,533985.103756,183744.841983,1.9357636,-1,-1,339,3,25.400402
1062,533922.491033,183755.220835,533985.103756,183744.841983,2.0160015,-1,-1,340,2,63.467106
1063,533944.738328,183206.22512,533979.992125,183306.011357,4,-1,-1,341,4,105.83064
1064,533567.463958,183697.239756,533579.950494,183942.65563,4,-1,-1,342,4,245.73332
1065,533282.517625,184782.995307,533283.075492,184764.40653,2.9064755,-1,-1,343,4,18.597147
1066,533283.075492,184764.40653,533283.681792,184744.203951,3.0935245,-1,-1,343,5,20.211676
1067,533283.681792,184744.203951,533286.884606,184637.482607,2.9214048,-1,-1,343,5,106.76939
1068,533286.884606,184637.482607,533287.133982,184629.173115,3.0785952,-1,-1,343,5,8.3132334
1069,533287.133982,184629.173115,533290.789279,184507.374518,2.9549377,-1,-1,343,5,121.85343
1070,533290.789279,184507.374518,533291.096934,184497.123129,1.9907711,-1,-1,343,4,10.256004
1071,533291.096934,184497.123129,533295.028848,184366.107355,2.5140228,-1,-1,343,4,131.07477
1072,533295.028848,184366.107355,533296.30243,184323.670165,2.5402684,-1,-1,343,5,42.456295
1073,533296.30243,184323.670165,533298.077486,184264.523313,4,-1,-1,343,5,59.173481
1074,533234.578409,184132.874431,533236.852646,184132.974073,1.7264223,-1,-1,344,3,2.2764189
1075,533236.852646,184132.974073,533259.363897,184133.960373,2.7261467,-1,-1,344,4,22.532846
1076,533259.363897,184133.960373,533375.11824,184139.031995,2.2744579,-1,-1,344,5,115.86539
1077,533375.11824,184139.031995,533423.692931,184141.16023,2.7615788,-1,-1,344,5,48.621292
1078,533423.692931,184141.16023,533425.345676,184141.232642,3.2384212,-1,-1,344,4,1.6543306
1079,533355.694935,184504.726093,533366.661272,184298.256356,4,-1,-1,345,5,206.76076
1080,533366.661272,184298.256356,533366.817065,184295.323157,4,-1,-1,345,6,2.9373329
1081,533366.817065,184295.323157,533375.11824,184139.031995,4,-1,-1,345,6,156.51146
1082,533375.11824,184139.031995,533389.487117,183868.500625,4,-1,-1,345,6,270.91269
1083,533389.487117,183868.500625,533395.10381,183762.751804,4,-1,-1,345,6,105.89787
1084,533395.10381,183762.751804,533406.39926,183550.08566,2.7427776,-1,-1,345,5,212.9659
1085,533406.39926,183550.08566,533407.205225,183534.911273,3.2572224,-1,-1,345,5,15.195776
1086,533407.205225,183534.911273,533422.574483,183245.545124,4,-1,-1,345,6,289.77402
1087,533422.574483,183245.545124,533423.137646,183234.942115,4,-1,-1,345,5,10.617954
1088,533423.947247,184140.588132,533425.345676,184141.232642,3.7529404,-1,-1,346,4,1.5398051
1089,533425.345676,184141.232642,533488.98942,184170.564859,0.80989897,-1,-1,346,3,70.07785
1090,533423.692931,184141.16023,533423.947247,184140.588132,3.0086384,-1,-1,347,4,0.62607646
1091,533423.947247,184140.588132,533451.816404,184077.894762,1.5875411,-1,-1,347,3,68.608665
1092,533451.816404,184077.894762,533482.958861,184071.060642,2.5961795,-1,-1,348,4,31.883503
1093,533482.958861,184071.060642,533632.761839,184038.18682,2.8942552,-1,-1,348,4,153.3676
1094,533439.409263,183959.16102,533482.958861,184071.060642,3.1618555,-1,-1,349,4,120.07536
1095,533482.958861,184071.060642,533516.485557,184157.206663,4,-1,-1,349,6,92.440125
1096,533516.485557,184157.206663,533542.718131,184224.610618,4,-1,-1,349,6,72.328705
