Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
983078,1.56,7.08,2.5935955,33,8.378334,2.79
983079,1.56,7.14,2.5032611,44,15.016704,7.6104002
983080,1.56,7.2,2.4129267,32,7.8863053,2.5848
983082,1.56,7.32,3.1642585,31,6.6198921,1.728
983083,1.56,7.38,3.0083003,31,6.0090775,1.4976
983084,1.56,7.44,2.8690913,31,6.0090775,1.4976
983085,1.56,7.5,2.7545929,31,6.6198921,1.728
983087,1.56,7.62,3.088649,31,6.9972,2.0411999
983088,1.56,7.68,2.8373172,46,16.598719,9.0288
983089,1.56,7.74,2.588649,32,7.2333384,2.0304
1048579,1.62,4.98,1.5903343,43,12.769302,4.6259999
1048580,1.62,5.04,1.475836,44,11.469737,3.7079999
1048581,1.62,5.1,1.3855016,44,10.269431,2.97
1048582,1.62,5.16,1.1102223,52,14.800631,6.3648
1048583,1.62,5.22,1.1806688,82,29.672567,14.904
1048584,1.62,5.28,1.2858057,45,10.993027,3.5352001
1048585,1.62,5.34,1.4229068,43,10.962886,3.4452
1048586,1.62,5.4,1.5247105,44,13.066167,4.6691999
1048594,1.62,5.88,1.0814931,40,10.24531,3.6324
1048595,1.62,5.94,0.94228411,149,201.70578,436.9068
1048596,1.62,6,0.91199183,149,201.70578,436.9068
1048597,1.62,6.06,0.98847598,42,11.163133,4.1004
1048605,1.62,6.54,1.1698359,57,21.404491,11.1204
1048606,1.62,6.6,1.0589266,120,104.27837,154.3896
1048607,1.62,6.66,1.0227268,163,196.79239,399.2616
1048608,1.62,6.72,0.98383069,127,128.03867,240.10921
1048609,1.62,6.78,0.94440091,89,54.543629,53.874001
1048610,1.62,6.84,1.1014985,52,17.741724,8.2872
1048611,1.62,6.9,1.9183675,13,2.0358005,0.43560001
1048612,1.62,6.96,1.7135347,22,5.0669341,1.5804
1048614,1.62,7.08,2.608398,37,9.2292118,2.9951999
1048615,1.62,7.14,2.5032611,42,13.76646,7.0812001
1048616,1.62,7.2,2.3981242,33,7.7854137,2.4660001
1048618,1.62,7.32,3.1642585,31,5.7531633,1.2672
1048619,1.62,7.38,2.9594257,31,5.0977063,1.0368
1048620,1.62,7.44,2.7899244,31,5.0977063,1.0368
1048621,1.62,7.5,2.6642585,31,5.7531633,1.2672
1048623,1.62,7.62,3.0533175,35,9.8038931,4.4352002
1048624,1.62,7.68,2.8578463,43,15.819741,9.4463997
1048625,1.62,7.74,2.7052209,29,5.8900676,1.5372
1114115,1.68,4.98,1.6806688,42,11.230859,3.78
1114116,1.68,5.04,1.5247105,45,10.472826,3.1212001
1114117,1.68,5.1,1.4229068,47,10.043613,2.7828
1114118,1.68,5.16,1.1015021,67,21.817133,11.4264
1114119,1.68,5.22,1.1806688,77,26.496384,13.3164
1114120,1.68,5.28,1.3063347,47,9.7217789,2.5739999
1114121,1.68,5.34,1.475836,44,10.132861,2.9663999
1114122,1.68,5.4,1.5903344,43,11.500793,3.816
1114130,1.68,5.88,1.1194552,42,10.857234,3.8843999
1114131,1.68,5.94,0.94228411,149,196.19885,415.16281
1114132,1.68,6,0.91047966,148,195.70409,414.918
1114133,1.68,6.06,1.0723066,41,10.626207,3.9275999
1114141,1.68,6.54,1.2154815,53,16.581987,7.0991998
1114142,1.68,6.6,1.0607827,122,96.115059,131.8716
1114143,1.68,6.66,1.0227268,163,189.97803,377.6976
1114144,1.68,6.72,0.98118913,130,125.61449,229.7556
1114145,1.68,6.78,0.94099653,88,45.975727,39.664799
1114146,1.68,6.84,1.1918329,49,13.552962,4.7484002
1114147,1.68,6.9,2.7135348,11,2.1713109,0.58319998
1114148,1.68,6.96,1.7135347,24,5.4486289,1.6596
1114150,1.68,7.08,2.628927,35,7.9294925,2.3399999
1114151,1.68,7.14,2.5032611,44,14.353462,7.7435999
1114152,1.68,7.2,2.3775952,36,9.6179361,3.9528
1114154,1.68,7.32,3.1642585,33,6.0974069,1.3464
1114155,1.68,7.38,2.8690913,31,4.6385207,0.8064
1114156,1.68,7.44,2.6642585,31,4.6385207,0.8064
1114157,1.68,7.5,2.5385926,32,5.7475495,1.224
1114159,1.68,7.62,3.04215,37,11.95799,6.5735998
1114160,1.68,7.68,2.8726487,42,15.823421,10.1052
1114161,1.68,7.74,2.7581501,34,8.6170893,3.3299999
1179651,1.74,4.98,1.7710032,43,11.020251,3.5136001
1179652,1.74,5.04,1.6806688,44,9.6694479,2.7467999
1179653,1.74,5.1,1.475836,45,8.5702963,2.052
1179654,1.74,5.16,1.0903344,67,22.31793,13.3884
1179655,1.74,5.22,1.1806688,75,25.257235,12.7404
1179656,1.74,5.28,1.3855016,49,10.452456,3.0204
1179657,1.74,5.34,1.5550029,45,9.8693514,2.7467999
1179658,1.74,5.4,1.6806688,44,11.519784,3.78
1179666,1.74,5.88,1.184522,41,10.73134,3.9744
1179667,1.74,5.94,0.94228411,149,190.80115,394.10999
1179668,1.74,6,0.90880871,148,190.42166,393.966
1179669,1.74,6.06,1.162641,41,10.73134,3.9744
1179677,1.74,6.54,1.317894,48,12.509683,4.0427999
