Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Segment Length,Topological Choice,Topological Choice [SLW],Topological Mean Depth,Topological Mean Depth [SLW],Topological Total Depth,Topological Total Length,Topological Total Nodes
155,531297.758244,183720.335774,531302.825685,183717.464863,3.4309821,46,4,5.8241816,258,244864.58,3.4067798,3.5802126,603,12216.636,178
156,531294.100666,183550.806851,531302.825685,183717.464863,2.7051506,47,4,166.88625,331,2276385.5,3.3276837,3.4417708,589,12216.636,178
157,531302.825685,183717.464863,531303.086878,183722.453957,3.2948494,47,4,4.9959264,283,412636.78,3.3276837,3.3961432,589,12216.636,178
158,530707.321114,183575.611283,530723.063265,183688.758214,0.98894149,48,2,114.23679,188,1471450.5,3.2542372,2.9778583,576,12216.636,178
159,530723.063265,183688.758214,530730.767941,183744.135682,1.182127,48,3,55.910877,267,1370665.8,3.2542372,2.9635758,576,12216.636,178
160,530723.063265,183688.758214,530804.10279,183678.914813,3.0480838,49,4,81.635147,332,2109822.8,2.9661016,2.7047873,525,12216.636,178
161,530804.10279,183678.914813,530912.244928,183665.779416,2.0113289,49,4,108.93696,454,3104473,2.9661016,2.7108862,525,12216.636,178
162,530912.244928,183665.779416,530942.320478,183662.126313,2.940587,49,4,30.296598,341,1433324.9,2.9661016,2.6933925,525,12216.636,178
163,531140.793407,184138.095983,531154.133119,184099.625494,3.1072955,50,3,40.717644,353,1266101.2,3.3050847,3.2095122,585,12216.636,178
164,531091.400795,184089.16428,531154.133119,184099.625494,1.1072954,51,1,63.598595,177,772916.12,4.2994351,4.2103219,761,12216.636,178
165,531060.553704,184121.39462,531060.782857,184116.994225,3.0436037,52,4,4.4063578,323,1003555.1,2.8926554,2.7602141,512,12216.636,178
166,531060.782857,184116.994225,531065.497338,184026.462826,2.9563963,52,4,90.654068,338,2091828.6,2.8926554,2.7798464,512,12216.636,178
167,530922.424921,184035.240495,531065.497338,184026.462826,3.0721309,53,4,143.34143,305,2517464.5,2.6610169,2.5211554,471,12216.636,178
168,531065.497338,184026.462826,531206.527247,184017.810468,2.9278691,53,4,141.29507,403,2740225,2.6610169,2.5207281,471,12216.636,178
169,531282.101437,184085.298468,531294.562642,184021.679734,4,54,4,64.827652,627,1985726,3.3163841,3.3624485,587,12216.636,178
170,531268.479945,184016.651855,531294.562642,184021.679734,1.9948233,55,3,26.562881,254,675773.44,4.2033896,4.2795658,744,12216.636,178
171,531294.562642,184021.679734,531317.354673,184026.073282,1.9981046,55,3,23.211634,254,642778.81,4.2033896,4.2783895,744,12216.636,178
172,531268.479945,184016.651855,531279.573531,183955.446867,1.9839985,56,2,62.202236,201,787720.75,4.519774,4.711287,800,12216.636,178
173,531279.573531,183955.446867,531304.31269,183959.573805,2.0713086,57,3,25.08102,304,777086.88,3.8644068,4.0679464,684,12216.636,178
174,531304.31269,183959.573805,531329.366877,183963.753297,1.9357636,57,3,25.400402,304,786515.56,3.8644068,4.0680528,684,12216.636,178
175,531317.354673,184026.073282,531329.366877,183963.753297,2.0160015,58,2,63.467106,201,800217.81,4.519774,4.7115693,800,12216.636,178
176,530810.256885,183814.547701,530916.388132,183816.148133,4,59,4,106.14331,196,1401016.2,3.2372882,2.9774716,573,12216.636,178
177,531139.683702,184338.865635,531374.160466,184412.387824,4,60,4,245.73332,184,2972535.8,3.0056498,2.897414,532,12216.636,178
