Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
524293,1.14000000,5.10000000,111.00000000,59.24015427,50.79600143,1.93729663,4.25545216,0.51049954,0.83407140,2.94745302,1866.00000000,2.33403635
524294,1.14000000,5.16000000,121.00000000,62.96975327,52.12799835,1.85629046,4.52056217,0.54230309,0.84026617,2.83324409,1866.00000000,2.33368778
524295,1.14000000,5.22000000,129.00000000,68.01834106,57.12120056,1.87014520,4.61229563,0.55330777,0.84234583,2.79678273,1866.00000000,2.30037045
524296,1.14000000,5.28000000,121.00000000,54.60052109,39.98519897,1.89760852,4.34884691,0.52170348,0.83628619,2.90563011,1866.00000000,2.34452796
524297,1.14000000,5.34000000,120.00000000,51.82098770,35.63280106,1.90224588,4.31485271,0.51762545,0.83548427,2.92064333,1866.00000000,2.34929729
524298,1.14000000,5.40000000,113.00000000,41.55378342,21.40920067,2.02977872,3.69137859,0.44283122,0.81984967,3.24504018,1866.00000000,2.43038011
524299,1.14000000,5.46000000,102.00000000,33.44426727,14.12639999,2.02317548,3.68170619,0.44167086,0.81959182,3.25093842,1866.00000000,2.43630767
524301,1.14000000,5.58000000,122.00000000,55.41840744,32.51520157,1.93002200,4.23330641,0.50784284,0.83354086,2.95764065,1866.00000000,2.34822130
524302,1.14000000,5.64000000,113.00000000,47.58223724,26.58959961,1.91712260,4.21483564,0.50562704,0.83309674,2.96621990,1866.00000000,2.36283660
524303,1.14000000,5.70000000,106.00000000,40.83195496,21.31200027,1.90761626,4.20222998,0.50411481,0.83279282,2.97211790,1866.00000000,2.37332106
524304,1.14000000,5.76000000,104.00000000,37.41974640,18.39959908,1.90557039,4.19994640,0.50384080,0.83273768,2.97319031,1866.00000000,2.37538099
524305,1.14000000,5.82000000,104.00000000,35.25284195,16.28280067,1.90621531,4.20108795,0.50397778,0.83276528,2.97265410,1866.00000000,2.37450647
