Ref,x,y,Connectivity,Metric Mean Shortest-Path Angle,Metric Mean Shortest-Path Distance,Metric Mean Straight-Line Distance,Metric Node Count,Point First Moment,Point Second Moment
655403,1.26,7.38,55,2.6719425,2.5965028,2.209511,1866,14.167813,5.1408
655404,1.26,7.44,56,2.7099824,2.6460309,2.2435048,1866,14.944987,5.8067999
655405,1.26,7.5,57,2.72651,2.6958954,2.279031,1866,16.187033,6.8759999
655406,1.26,7.56,60,2.7376649,2.7464559,2.3160431,1866,18.300798,8.4312
655407,1.26,7.62,74,2.7378056,2.7982574,2.3544853,1866,25.843081,12.7944
655408,1.26,7.68,97,2.8214705,2.841249,2.3943028,1866,39.629852,20.969999
655409,1.26,7.74,66,2.8387575,2.8680806,2.4354169,1866,27.514166,15.9408
720901,1.32,5.1,87,1.7621523,2.3945127,2.1046257,1866,33.765991,18.1908
720902,1.32,5.16,91,1.4939541,2.3608782,2.0747426,1866,29.83559,13.1652
720903,1.32,5.22,106,1.5132134,2.3415053,2.0465653,1866,38.546345,20.599199
720904,1.32,5.28,87,1.6612202,2.329123,2.0201454,1866,23.620955,8.1216002
720905,1.32,5.34,79,1.9133301,2.3407876,1.9955033,1866,20.416594,6.4368
720906,1.32,5.4,77,2.0161898,2.3531122,1.9726428,1866,21.133102,6.9875998
720907,1.32,5.46,73,2.1994605,2.3734179,1.9515486,1866,22.179609,7.9956002
720909,1.32,5.58,89,1.9047788,2.3208439,1.9144167,1866,40.862991,23.3316
720910,1.32,5.64,94,1.8349036,2.290796,1.898313,1866,39.411312,20.656799
720911,1.32,5.7,99,1.7972981,2.2631683,1.8838828,1866,39.298153,19.4832
720912,1.32,5.76,98,1.8627795,2.2315462,1.8711394,1866,36.762032,17.334
720913,1.32,5.82,98,1.8619212,2.1912003,1.8601069,1866,34.903992,15.5592
720914,1.32,5.88,99,1.9669406,2.1473305,1.8508164,1866,34.057945,14.7564
720915,1.32,5.94,224,1.2763886,2.0989277,1.8433095,1866,262.35757,573.84363
720916,1.32,6,224,1.282539,2.093246,1.837636,1866,262.78009,574.47717
720917,1.32,6.06,98,1.9739033,2.1290977,1.8337966,1866,34.830383,16.4412
720918,1.32,6.12,96,1.9702849,2.1647038,1.8317482,1866,35.736412,17.906401
720919,1.32,6.18,96,1.8290112,2.1944056,1.8314505,1866,38.887508,21.743999
720920,1.32,6.24,96,1.7684714,2.2137866,1.8328753,1866,41.457706,24.4944
720921,1.32,6.3,95,1.8241904,2.2337561,1.8360015,1866,44.932056,28.670401
720922,1.32,6.36,95,1.9214526,2.2561994,1.8408099,1866,49.328381,33.66
720926,1.32,6.6,56,1.8606457,2.1938848,1.876173,1866,29.65251,22.546801
720927,1.32,6.66,181,1.6079637,2.1775012,1.8891454,1866,249.15399,533.29321
720928,1.32,6.72,97,1.5515777,2.1780219,1.9038837,1866,64.430847,59.608799
720929,1.32,6.78,54,1.8523394,2.1952186,1.9203662,1866,24.484844,15.8436
720930,1.32,6.84,55,2.1731436,2.2368488,1.9385308,1866,25.752935,16.1532
720931,1.32,6.9,61,2.3082809,2.2619081,1.9583229,1866,28.505531,17.247601
720932,1.32,6.96,82,2.0758376,2.2698226,1.9797438,1866,37.344036,22.057199
720933,1.32,7.02,68,2.4979575,2.3153203,2.0027988,1866,28.316906,16.2684
720934,1.32,7.08,69,2.4726527,2.3616509,2.027472,1866,23.126705,9.9108
720935,1.32,7.14,101,2.3329062,2.40766,2.0538018,1866,38.473366,18.216
720936,1.32,7.2,72,2.4483545,2.4370415,2.0818079,1866,21.617157,8.3123999
720937,1.32,7.26,64,2.5979056,2.4807861,2.1114743,1866,18.011038,6.7248001
720938,1.32,7.32,60,2.7068243,2.5296023,2.1427729,1866,16.908792,6.5771999
720939,1.32,7.38,59,2.7589736,2.5816643,2.1756744,1866,16.792269,6.9191999
720940,1.32,7.44,59,2.7863903,2.6340046,2.2101464,1866,17.511274,7.8263998
720941,1.32,7.5,62,2.789525,2.685616,2.2461493,1866,19.511091,9.3923998
720942,1.32,7.56,64,2.7964134,2.737674,2.2836306,1866,21.649683,11.2896
720943,1.32,7.62,78,2.7875135,2.7906411,2.3225374,1866,29.534483,16.149599
720944,1.32,7.68,100,2.865962,2.8046854,2.362812,1866,42.616943,23.8536
720945,1.32,7.74,69,2.9930882,2.8298879,2.4043782,1866,30.333668,18.892799
786437,1.38,5.1,78,2.1423521,2.3819976,2.0680485,1866,28.498459,13.05
