Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
720921,1.32,6.3,1.5436234,1866,2880.4014,95,44.932056,28.670401
720922,1.32,6.36,1.6109834,1866,3006.095,95,49.328381,33.66
720926,1.32,6.6,1.3185176,1866,2460.3538,56,29.65251,22.546801
720927,1.32,6.66,1.065082,1866,1987.4429,181,249.15399,533.29321
720928,1.32,6.72,1.0338453,1866,1929.1554,97,64.430847,59.608799
720929,1.32,6.78,1.2282614,1866,2291.9358,54,24.484844,15.8436
720930,1.32,6.84,1.3683639,1866,2553.3669,55,25.752935,16.1532
720931,1.32,6.9,1.397423,1866,2607.5913,61,28.505531,17.247601
720932,1.32,6.96,1.3253213,1866,2473.0496,82,37.344036,22.057199
720933,1.32,7.02,1.3674362,1866,2551.636,68,28.316906,16.2684
720934,1.32,7.08,1.3447783,1866,2509.3562,69,23.126705,9.9108
720935,1.32,7.14,1.3364512,1866,2493.8179,101,38.473366,18.216
720936,1.32,7.2,1.4135532,1866,2637.6904,72,21.617157,8.3123999
720937,1.32,7.26,1.4453827,1866,2697.0842,64,18.011038,6.7248001
720938,1.32,7.32,1.4670153,1866,2737.4504,60,16.908792,6.5771999
720939,1.32,7.38,1.4732732,1866,2749.1277,59,16.792269,6.9191999
720940,1.32,7.44,1.474192,1866,2750.8423,59,17.511274,7.8263998
720941,1.32,7.5,1.4689044,1866,2740.9756,62,19.511091,9.3923998
720942,1.32,7.56,1.4497917,1866,2705.3113,64,21.649683,11.2896
720943,1.32,7.62,1.4341196,1866,2676.0671,78,29.534483,16.149599
720944,1.32,7.68,1.4240539,1866,2657.2847,100,42.616943,23.8536
720945,1.32,7.74,1.4324121,1866,2672.8811,69,30.333668,18.892799
786437,1.38,5.1,1.3951371,1866,2603.3257,78,28.498459,13.05
786438,1.38,5.16,1.1582016,1866,2161.2041,90,28.905073,11.7396
786439,1.38,5.22,1.0917926,1866,2037.2849,104,37.122131,18.5256
786440,1.38,5.28,1.3919411,1866,2597.3621,79,21.782454,7.4196
786441,1.38,5.34,1.5799667,1866,2948.2178,75,21.029879,7.2467999
786442,1.38,5.4,1.6789553,1866,3132.9307,72,21.405773,7.7291999
786443,1.38,5.46,1.82139,1866,3398.7139,72,23.6397,9.1512003
786451,1.38,5.94,1.0687289,1866,1994.2482,168,235.0116,537.26038
786452,1.38,6,1.1454359,1866,2137.3835,174,240.27968,541.6272
786462,1.38,6.6,1.4631406,1866,2730.2205,25,6.9630108,2.934
786463,1.38,6.66,1.0855464,1866,2025.6296,156,222.49254,490.7196
786464,1.38,6.72,1.1375526,1866,2122.6731,52,23.001314,15.714
786468,1.38,6.96,1.5007687,1866,2800.4343,25,8.1457586,3.7548001
786470,1.38,7.08,1.7116228,1866,3193.8882,57,21.095362,9.7343998
786471,1.38,7.14,1.4616752,1866,2727.4858,90,33.55788,15.7104
786472,1.38,7.2,1.4120542,1866,2634.8931,69,25.863102,14.958
786473,1.38,7.26,1.4173865,1866,2644.8433,60,19.849401,10.5696
786474,1.38,7.32,1.4240936,1866,2657.3586,57,15.631636,5.5152001
786475,1.38,7.38,1.4311657,1866,2670.5552,55,14.957966,5.4359999
786476,1.38,7.44,1.4304415,1866,2669.2039,58,16.736746,6.5879998
786477,1.38,7.5,1.4315788,1866,2671.3259,58,17.649349,7.5636001
786478,1.38,7.56,1.433884,1866,2675.6277,60,19.426327,8.8163996
786479,1.38,7.62,1.4183285,1866,2646.6011,72,26.966068,13.8384
786480,1.38,7.68,1.4044713,1866,2620.7434,98,40.286591,21.531601
786481,1.38,7.74,1.4211878,1866,2651.9363,66,28.82032,16.8228
851970,1.44,4.92,1.6205931,1866,3024.0266,24,7.0367808,2.7107999
851971,1.44,4.98,1.5901296,1866,2967.1819,26,6.8474617,2.4156001
851972,1.44,5.04,1.5333012,1866,2861.1401,43,15.919716,8.2944002
851973,1.44,5.1,1.5428569,1866,2878.9709,80,29.562944,13.3344
851974,1.44,5.16,1.5871036,1866,2961.5354,76,26.056211,10.9332
851975,1.44,5.22,1.1255959,1866,2100.3621,102,37.353725,18.381599
851976,1.44,5.28,1.6911968,1866,3155.7732,74,23.353807,8.9927998
851977,1.44,5.34,1.7282381,1866,3224.8923,73,23.336214,9.0251999
851978,1.44,5.4,1.8253096,1866,3406.0278,73,24.70052,9.9432001
851979,1.44,5.46,1.9013017,1866,3547.8291,72,26.304705,11.1564
851987,1.44,5.94,1.1459475,1866,2138.3379,152,222.51848,509.19479
851988,1.44,6,1.1772043,1866,2196.6631,150,222.0843,509.08679
851999,1.44,6.66,1.1264209,1866,2101.9014,161,217.65578,466.41599
852004,1.44,6.96,1.7248284,1866,3218.5298,22,6.7938762,2.9628
852007,1.44,7.14,1.8192968,1866,3394.8079,57,19.553377,9.0431995
852016,1.44,7.68,1.7562864,1866,3277.2305,63,21.586267,9.9432001
917506,1.5,4.92,1.4857752,1866,2772.4565,33,15.108924,10.1088
917507,1.5,4.98,1.6107621,1866,3005.6821,32,12.570141,7.2972002
917508,1.5,5.04,1.86338,1866,3477.0669,24,8.5234089,4.3740001
917510,1.5,5.16,1.2681251,1866,2366.3213,33,10.208949,4.0427999
917511,1.5,5.22,1.2250563,1866,2285.9551,72,29.44891,15.354
917522,1.5,5.88,1.3634934,1866,2544.2788,36,12.216704,6.0516
917523,1.5,5.94,1.1670243,1866,2177.6672,153,215.50981,484.09561
917524,1.5,6,1.1856462,1866,2212.4158,152,215.05286,483.88681
917525,1.5,6.06,1.3692263,1866,2554.9763,38,12.528763,5.7708001
917535,1.5,6.66,1.1395085,1866,2126.3228,163,209.72987,441.306
917539,1.5,6.9,1.8485837,1866,3449.4573,14,2.8740633,0.84240001
