Ref,x,y,Angular Mean Depth,Angular Node Count,Angular Total Depth,Connectivity,Point First Moment,Point Second Moment
589866,1.2000000,7.3200000,1.5064719,1866.0000000,2811.0764160,55.0000000,14.3876295,4.7124000
589867,1.2000000,7.3800000,1.5000514,1866.0000000,2799.0959473,56.0000000,14.8598156,5.0507998
589868,1.2000000,7.4400000,1.4970636,1866.0000000,2793.5207520,55.0000000,14.6964073,5.1012001
589869,1.2000000,7.5000000,1.4874376,1866.0000000,2775.5585938,57.0000000,16.7095928,6.7284002
589870,1.2000000,7.5600000,1.4809654,1866.0000000,2763.4814453,58.0000000,18.3722420,8.1216002
589871,1.2000000,7.6200000,1.4621091,1866.0000000,2728.2956543,70.0000000,26.2288094,13.5719995
589872,1.2000000,7.6800000,1.4406267,1866.0000000,2688.2094727,97.0000000,39.7042427,21.2436008
589873,1.2000000,7.7400000,1.4680122,1866.0000000,2739.3107910,65.0000000,29.4831543,17.6075993
655365,1.2600000,5.1000000,1.1294636,1866.0000000,2107.5791016,99.0000000,45.3185234,31.5648003
655366,1.2600000,5.1600000,1.0265453,1866.0000000,1915.5334473,107.0000000,44.7797470,28.5732002
655367,1.2600000,5.2200000,0.9982711,1866.0000000,1862.7739258,120.0000000,52.1153259,34.5816002
655368,1.2600000,5.2800000,1.0927404,1866.0000000,2039.0537109,101.0000000,34.0117912,17.1756001
655369,1.2600000,5.3400000,1.2194142,1866.0000000,2275.4270020,92.0000000,26.1008625,9.7812004
655370,1.2600000,5.4000000,1.3224499,1866.0000000,2467.6916504,84.0000000,22.1540794,7.0092001
655371,1.2600000,5.4600000,1.5349628,1866.0000000,2864.2404785,77.0000000,22.1938705,7.5348001
655373,1.2600000,5.5800000,1.4101568,1866.0000000,2631.3527832,100.0000000,45.4002151,26.6075993
655374,1.2600000,5.6400000,1.3636299,1866.0000000,2544.5334473,106.0000000,44.5795441,24.2964001
655375,1.2600000,5.7000000,1.3191643,1866.0000000,2461.5605469,104.0000000,40.0120659,19.9692001
655376,1.2600000,5.7600000,1.2905787,1866.0000000,2408.2199707,104.0000000,37.2691231,17.3411999
655377,1.2600000,5.8200000,1.2579449,1866.0000000,2347.3251953,103.0000000,35.2488747,15.7536001
655378,1.2600000,5.8800000,1.1514803,1866.0000000,2148.6623535,101.0000000,32.4008865,13.5576000
655379,1.2600000,5.9400000,0.9508492,1866.0000000,1774.2845459,226.0000000,268.7851562,601.0128174
655380,1.2600000,6.0000000,0.9500268,1866.0000000,1772.7500000,225.0000000,268.5145874,601.1676025
655381,1.2600000,6.0600000,1.1586087,1866.0000000,2161.9638672,100.0000000,33.1311302,15.2063999
655382,1.2600000,6.1200000,1.2684332,1866.0000000,2366.8964844,99.0000000,34.6734619,17.0352001
655383,1.2600000,6.1800000,1.3073040,1866.0000000,2439.4291992,97.0000000,35.4871864,18.2196007
655384,1.2600000,6.2400000,1.3557007,1866.0000000,2529.7375488,96.0000000,38.4297256,21.5711994
655385,1.2600000,6.3000000,1.4154615,1866.0000000,2641.2512207,96.0000000,42.9666138,26.6147995
655386,1.2600000,6.3600000,1.4949858,1866.0000000,2789.6435547,95.0000000,47.2006683,31.4640007
655390,1.2600000,6.6000000,1.2470031,1866.0000000,2326.9077148,53.0000000,26.0225163,18.8243999
655391,1.2600000,6.6600000,1.0382103,1866.0000000,1937.3002930,162.0000000,243.2453156,548.5787964
655392,1.2600000,6.7200000,0.9702350,1866.0000000,1810.4586182,103.0000000,95.8987045,140.7203979
655393,1.2600000,6.7800000,1.0946337,1866.0000000,2042.5865479,45.0000000,18.2839737,10.9188004
655395,1.2600000,6.9000000,1.4887962,1866.0000000,2778.0937500,36.0000000,14.5151014,7.9271998
