Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,Metric Choice,Metric Choice [SLW],Metric Mean Depth,Metric Mean Depth [SLW],Metric Total Depth,Metric Total Length,Metric Total Nodes,Segment Length
121,530813.405101,183883.932657,530918.31369,183886.032144,4,34,6,1507,7568729.5,478.79477,495.25818,84746.68,12216.636,178,104.9296
122,530918.31369,183886.032144,530986.848212,183887.403694,2.8438091,34,5,3172,13233950,439.3472,465.53561,77764.453,12216.636,178,68.548241
123,530986.848212,183887.403694,531029.291446,183888.25309,2.1506054,34,4,3173,12837611,429.28345,463.17899,75983.172,12216.636,178,42.451733
124,531029.291446,183888.25309,531073.801917,183889.143858,3.0055857,34,5,3267,12969421,417.75778,457.69431,73943.125,12216.636,178,44.519382
125,531073.801917,183889.143858,531157.130183,183890.811468,3.1265831,34,5,3383,13491313,395.8425,446.66489,70064.117,12216.636,178,83.344948
126,531157.130183,183890.811468,531168.634422,183891.041697,2.8734171,34,5,3354,11972966,378.26068,431.66486,66952.141,12216.636,178,11.506542
127,531168.634422,183891.041697,531174.661661,183891.162317,4,34,6,2472,8661227,377.60767,432.2085,66836.555,12216.636,178,6.0284462
128,531174.661661,183891.162317,531180.080455,183891.270761,4,34,5,1099,3409125.5,377.48911,432.78076,66815.57,12216.636,178,5.419879
129,531246.846002,183898.187827,531247.100529,183877.364907,2,35,2,177,253971.38,421.84348,486.11209,74666.297,12216.636,178,20.824474
130,531380.713483,184038.933676,531417.15255,184035.901078,2.315361,36,3,475,1705699.4,500.63986,555.93805,88613.258,12216.636,178,36.565041
131,531367.863502,184047.323233,531380.713483,184038.933676,0.87075675,37,2,480,1564171.4,503.59479,556.96704,89136.273,12216.636,178,15.346227
132,531360.813158,184105.802482,531367.863502,184047.323233,2.5553956,38,3,552,2107874.2,484.58502,535.04694,85771.555,12216.636,178,58.902714
133,531177.606206,183921.056404,531180.045933,183891.686354,4,39,5,1529,5361189.5,378.84189,433.86053,67055.016,12216.636,178,29.471209
134,531180.045933,183891.686354,531180.080455,183891.270761,3.0400231,39,5,1156,3862764.2,376.81073,432.1839,66695.5,12216.636,178,0.41702437
