Ref,x,y,Angular Step Depth,Connectivity,Point First Moment,Point Second Moment
720922,1.32000000,6.36000000,1.89333749,95.00000000,49.32838058,33.65999985
720926,1.32000000,6.60000000,1.31789398,56.00000000,29.65250969,22.54680061
720927,1.32000000,6.66000000,1.02272677,181.00000000,249.15399170,533.29321289
720928,1.32000000,6.72000000,0.99327540,97.00000000,64.43084717,59.60879898
720929,1.32000000,6.78000000,1.39706087,54.00000000,24.48484421,15.84360027
720930,1.32000000,6.84000000,1.81789398,55.00000000,25.75293541,16.15320015
720931,1.32000000,6.90000000,1.96298313,61.00000000,28.50553131,17.24760056
720932,1.32000000,6.96000000,1.71353471,82.00000000,37.34403610,22.05719948
720933,1.32000000,7.02000000,1.96298313,68.00000000,28.31690598,16.26840019
720934,1.32000000,7.08000000,1.96298313,69.00000000,23.12670517,9.91079998
720935,1.32000000,7.14000000,1.96298313,101.00000000,38.47336578,18.21599960
720936,1.32000000,7.20000000,1.96298313,72.00000000,21.61715698,8.31239986
720937,1.32000000,7.26000000,1.96298313,64.00000000,18.01103783,6.72480011
720938,1.32000000,7.32000000,1.96298313,60.00000000,16.90879250,6.57719994
720939,1.32000000,7.38000000,1.96298313,59.00000000,16.79226875,6.91919994
720940,1.32000000,7.44000000,1.96298313,59.00000000,17.51127434,7.82639980
720941,1.32000000,7.50000000,1.96298313,62.00000000,19.51109123,9.39239979
720942,1.32000000,7.56000000,1.96298313,64.00000000,21.64968300,11.28960037
720943,1.32000000,7.62000000,1.96298313,78.00000000,29.53448296,16.14959908
720944,1.32000000,7.68000000,1.96298313,100.00000000,42.61694336,23.85359955
720945,1.32000000,7.74000000,1.96298313,69.00000000,30.33366776,18.89279938
786437,1.38000000,5.10000000,1.88550162,78.00000000,28.49845886,13.05000019
786438,1.38000000,5.16000000,1.33662713,90.00000000,28.90507317,11.73960018
786439,1.38000000,5.22000000,1.18066883,104.00000000,37.12213135,18.52560043
786440,1.38000000,5.28000000,1.68066883,79.00000000,21.78245354,7.41960001
786441,1.38000000,5.34000000,1.88550162,75.00000000,21.02987862,7.24679995
786442,1.38000000,5.40000000,1.97583604,72.00000000,21.40577316,7.72919989
786443,1.38000000,5.46000000,2.02471066,72.00000000,23.63969994,9.15120029
786451,1.38000000,5.94000000,0.94228411,168.00000000,235.01159668,537.26037598
786452,1.38000000,6.00000000,0.91683292,174.00000000,240.27967834,541.62719727
786462,1.38000000,6.60000000,1.52272677,25.00000000,6.96301079,2.93400002
786463,1.38000000,6.66000000,1.02272677,156.00000000,222.49253845,490.71960449
786464,1.38000000,6.72000000,1.08617783,52.00000000,23.00131416,15.71399975
786468,1.38000000,6.96000000,1.71353471,25.00000000,8.14575863,3.75480008
786470,1.38000000,7.08000000,2.46298313,57.00000000,21.09536171,9.73439980
786471,1.38000000,7.14000000,2.25815034,90.00000000,33.55788040,15.71039963
786472,1.38000000,7.20000000,2.07050848,69.00000000,25.86310196,14.95800018
786473,1.38000000,7.26000000,2.10494208,60.00000000,19.84940147,10.56960011
786474,1.38000000,7.32000000,2.08864903,57.00000000,15.63163567,5.51520014
786475,1.38000000,7.38000000,2.06812000,55.00000000,14.95796585,5.43599987
786476,1.38000000,7.44000000,2.03342962,58.00000000,16.73674583,6.58799982
786477,1.38000000,7.50000000,2.02643418,58.00000000,17.64934921,7.56360006
786478,1.38000000,7.56000000,2.02069902,60.00000000,19.42632675,8.81639957
786479,1.38000000,7.62000000,2.01591253,72.00000000,26.96606827,13.83839989
786480,1.38000000,7.68000000,2.01185775,98.00000000,40.28659058,21.53160095
786481,1.38000000,7.74000000,2.00837898,66.00000000,28.82032013,16.82279968
851970,1.44000000,4.92000000,2.18066883,24.00000000,7.03678083,2.71079993
851971,1.44000000,4.98000000,2.18066883,26.00000000,6.84746170,2.41560006
851972,1.44000000,5.04000000,2.18066883,43.00000000,15.91971588,8.29440022
851973,1.44000000,5.10000000,2.18066883,80.00000000,29.56294441,13.33440018
851974,1.44000000,5.16000000,2.18066883,76.00000000,26.05621147,10.93319988
851975,1.44000000,5.22000000,1.18066883,102.00000000,37.35372543,18.38159943
851976,1.44000000,5.28000000,2.18066883,74.00000000,23.35380745,8.99279976
851977,1.44000000,5.34000000,2.18066883,73.00000000,23.33621407,9.02519989
851978,1.44000000,5.40000000,2.18066883,73.00000000,24.70051956,9.94320011
851979,1.44000000,5.46000000,2.18066883,72.00000000,26.30470467,11.15639973
